привет,здорово|0|здравствуй|0
атрибутов,признаков|0
атрибутом,признаком|0
базироваться,основываться|0
основываться,базироваться|0
базируется,основывается|0
базис,фундамент|0
базисом,фундаментом|0
бандит,преступник|0
преступник,бандит|0|злоумышленник|0
бандиты,преступники|0
банкротство,разорение|0
барахло,хламье|0|старье|0
хламье,барахло|0|барахле|0
старье,барахло|0|барахле|0
бардак,бедлам|0|беспорядок|0
бедлам,бардак|0
башка,голова|0
башку,голову|0
башмачник,сапожник|0
сапожник,башмачник|0
башмачника,сапожника|0
сапожника,башмачника|0
башмачнику,сапожнику|0
сапожнику,башмачнику|0
бдительно,чутко|0|неусыпно|0
беготня,суетня|0
суетня,беготня|0
бедствие,напасть|0
безбедный,богатый|0
безвозмездно,даром|0
даром,безвозмездно|0
безвредный,безобидный|0|безопасный|0
безобидный,безвредный|0
безграничный,безбрежный|0|бесконечный|0|бескрайний|0|беспредельный|0
безбрежный,безграничный|0
бесконечный,безграничный|0|безмерный|0
бескрайний,безграничный|0
беспредельный,безграничный|0
беззвучно,бесшумно|0
бесшумно,беззвучно|0
безмозглый,безрассудный|0|бестолковый|0
безрассудный,безмозглый|0
бестолковый,безмозглый|0
безмятежный,идилличный|0
идилличный,безмятежный|0
безоговорочный,безусловный|0
безусловный,безоговорочный|0|абсолютный|0
безошибочный,безукоризненный|0
безропотно,беспрекословно|0|кротко|0
беспрекословно,безропотно|0
безукоризненная,идеальная|0|безупречная|0
идеальная,безукоризненная|0|безупречная|0|совершенная|0
безупречно,идеально|0|безукоризненно|0
идеально,безупречно|0|безукоризненно|0|совершенно|0
безукоризненно,безупречно|0|идеально|0
безупречный,идеальный|0|безукоризненный|0
идеальный,безупречный|0|безукоризненный|0|совершенный|0
безукоризненный,безупречный|0|идеальный|0
безусловно,безоговорочно|0|абсолютно|0
безысходный,безвыходный|0
безвыходный,безысходный|0
беречь,хранить|0
хранить,беречь|0
бес,черт|0
бесконечно,безгранично|0|беспредельно|0|безмерно|0
безгранично,бесконечно|0|безбрежно|0|беспредельно|0
беспредельно,бесконечно|0|безгранично|0
бесплатно,даром|0
беспокоиться,волноваться|0
волноваться,беспокоиться|0
беспокойно,неспокойно|0
неспокойно,беспокойно|0
беспокойный,неспокойный|0
неспокойный,беспокойный|0
беспокойство,волнение|0
бесполезный,непотребный|0
непотребный,бесполезный|0
беспристрастно,непредвзято|0
непредвзято,беспристрастно|0
бессмысленно,безрезультатно|0
безрезультатно,бессмысленно|0
бесспорно,безусловно|0|безсомнения|0|безвсякогосомнения|0|вневсякогосомнения|0|внесомнения|0|неоспоримо|0
бесхитростный,незамысловатый|0|незатейливый|0
незамысловатый,бесхитростный|0
незатейливый,бесхитростный|0
биться,драться|0
благополучно,успешно|0|удачно|0
успешно,благополучно|0|удачно|0
удачно,благополучно|0|успешно|0
благоразумный,здравомыслящий|0
здравомыслящий,благоразумный|0
благосклонный,благорасположенный|0|доброжелательный|0
благорасположенный,благосклонный|0
блестеть,сверкать|0
сверкать,блестеть|0
блуждая,странствуя|0
божественно,бесподобно|0|восхитительно|0|изумительно|0|очаровательно|0|священно|0
бесподобно,божественно|0
восхитительно,божественно|0|великолепно|0|замечательно|0
изумительно,божественно|0|великолепно|0
очаровательно,божественно|0|прекрасно|0
бойкий,прыткий|0
болван,дурак|0
дурак,болван|0
бред,абсурд|0
будто,словно|0
словно,будто|0
буквально,дословно|0
бывший,прежний|0
прежний,бывший|0
быстро,стремительно|0
стремительно,быстро|0
быстропроисходящих,быстропротекающих|0
быстропротекающих,быстропроисходящих|0
быстрый,стремительный|0
стремительный,быстрый|0
стандартный,типовой|0
стандартные,типовые|0
удобно,комфортно|0
комфортно,удобно|0
увеличивается,возрастает|0
важен,значим|0|главен|0
важнейший,наиважнейший|0
наиважнейший,важнейший|0
вдруг,внезапно|0
вежливый,почтительный|0
почтительный,вежливый|0
везучий,удачливый|0|фартовый|0
фартовый,везучий|0
удачливый,везучий|0
великолепно,восхитительно|0|изумительно|0
великолепный,восхитительный|0|изумительный|0
восхитительный,великолепный|0|замечательный|0
изумительный,великолепный|0
величественный,грандиозный|0
грандиозный,величественный|0|колоссальный|0
галиматья,ерунда|0
ерунда,галиматья|0
гармоничный,слаженный|0
гениальный,феноменальный|0|талантливый|0|одаренный|0|высокоталантливый|0
высокоталантливый,гениальный|0
одаренный,гениальный|0
талантливый,гениальный|0
феноменальный,гениальный|0
героически,мужественно|0
мужественно,героически|0
героический,мужественный|0
мужественный,героический|0
гибель,погибель|0|смерть|0
погибель,гибель|0
гигантский,громадный|0
громадный,гигантский|0|огромный|0
гигантское,громадное|0
громадное,гигантское|0|огромное|0
глобальный,всеобщий|0
глобальной,всеобщей|0
глубокоуважаемый,достопочтенный|0|многоуважаемый|0|почтеннейший|0
достопочтенный,глубокоуважаемый|0
многоуважаемый,глубокоуважаемый|0
почтеннейший,глубокоуважаемый|0
глупо,абсурдно|0|нелепо|0|неумно|0|тупо|0
неумно,глупо|0
нелепо,глупо|0|бессмысленно|0
гневаться,сердиться|0
сердиться,гневаться|0
гневный,злой|0
злой,гневный|0
гнусный,мерзкий|0|гадкий|0|мерзостный|0|пакостный|0|скверный|0
мерзкий,гнусный|0
гадкий,гнусный|0
мерзостный,гнусный|0
пакостный,гнусный|0
скверный,гнусный|0
гордый,высокомерный|0|надменный|0
высокомерный,гордый|0
надменный,гордый|0
горе,бедствие|0
горючее,топливо|0
топливо,горючее|0
горячий,жгучий|0
жгучий,горячий|0
господствует,преобладает|0
преобладает,господствует|0
грациозный,изящный|0|пластичный|0
изящный,грациозный|0|изысканный|0
пластичный,грациозный|0
грозной,суровой|0
суровой,грозной|0
грозный,суровый|0
громоздкий,массивный|0
массивный,громоздкий|0
грубый,дерзкий|0
дерзкий,грубый|0
грубым,дерзким|0
дерзким,грубым|0
грядущий,предстоящий|0
предстоящий,грядущий|0
грязный,испачканный|0|чумазый|0
чумазый,грязный|0
испачканный,грязный|0
дальнейшее,последующее|0
последующее,дальнейшее|0
дальнейшие,последующие|0
последующие,дальнейшие|0
дальнейший,последующий|0
последующий,дальнейший|0
дважды,двукратно|0
двукратно,дважды|0
гарантии,ручательства|0
ручательства,гарантии|0
гарантия,ручательство|0
ручательство,гарантия|0
гармония,гармоника|0
еврей,иудей|0
иудей,еврей|0
единогласно,единодушно|0
единодушно,единогласно|0
единожды,однажды|0
единственный,исключительный|0
жадный,алчный|0
жанр,стиль|0
жаргон,сленг|0
желал,хотел|0
желала,хотела|0
желали,хотели|0
жесткие,суровые|0
жесткий,грубый|0
живописный,колоритный|0
колоритный,живописный|0|выразительный|0
журналист,корреспондент|0
корреспондент,журналист|0
жуткий,ужасный|0|чудовищный|0
чудовищный,жуткий|0
ужасный,жуткий|0|страшный|0
забавный,комичный|0
комичный,забавный|0
заранее,заблаговременно|0|предварительно|0
предварительно,заранее|0|заблаговременно|0
заблаговременно,заранее|0
полноценный,полновесный|0
полновесный,полноценный|0
огромное,большое|0|громадное|0
очередной,следующий|0
немодно,нестильно|0
навстречу,насупротив|0
насупротив,навстречу|0
штучный,индивидуальный|0
предназначенный,предуготовленный|0
предуготовленный,предназначенный|0
подарок,презент|0
презент,подарок|0
равнодушный,безразличный|0
безразличный,равнодушный|0
равнодушным,безразличным|0
безразличным,равнодушным|0
симпатичный,привлекательный|0|славный|0
привлекательный,симпатичный|0
симпатичную,привлекательную|0|славную|0
специально,намеренно|0
намеренно,специально|0
особенно,исключительно|0
постоянно,непрерывно|0
сложно,трудно|0
трудно,сложно|0
успех,триумф|0|фурор|0
фурор,успех|0
триумф,успех|0
иначе,напротив|0
муторно,тоскливо|0
тоскливо,муторно|0|печально|0
внушительный,значительный|0
грустные,печальные|0
печальные,грустные|0
архиважная,сверхважная|0
сверхважная,архиважная|0
архинужная,сверхнужная|0
сверхнужная,архинужная|0
конечно,безусловно|0|финально|0
многообразия,разнообразия|0
разнообразия,многообразия|0
восприятие,воспринятие|0
воспринятие,восприятие|0
ежедневно,каждодневно|0|повседневно|0
каждодневно,ежедневно|0
повседневно,ежедневно|0
специфика,особенность|0
особенность,специфика|0
внутренне,морально|0
глупее,тупее|0|тупей|0
всячески,различно|0
скрыть,спрятать|0|утаить|0
неуверенность,нерешительность|0
нерешительность,неуверенность|0
формально,официально|0
сообразительность,находчивость|0
находчивость,сообразительность|0
раскрепощенность,раскованность|0
раскованность,раскрепощенность|0
свободно,вольно|0
потребитель,покупатель|0
стратоплан,самолет|0
ниоткуда,ниотколе|0
мраком,туманом|0
творчество,созидание|0
прочную,крепкую|0
ярких,блестящих|0
блестящих,ярких|0|сверкающих|0
значительных,существенных|0
существенных,значительных|0
представитель,поверенный|0
поверенный,представитель|0
неизменно,бессменно|0|непоколебимо|0|постоянно|0
классический,типичный|0
классические,типичные|0
типичные,классические|0|нормальные|0
типичный,классический|0|нормальный|0
наследие,достояние|0
достояние,наследие|0
обширно,громадно|0
важнейшие,значимые|0
значимые,важнейшие|0|важные|0
самостоятельно,самосильно|0|независимо|0
самосильно,самостоятельно|0
критически,скептически|0
мировоззрению,миропониманию|0|миросозерцанию|0|мировидению|0
миропониманию,мировоззрению|0
мировоззрение,миропонимание|0|мировидение|0|миросозерцание|0
миропонимание,мировоззрение|0
мировидение,мировоззрение|0|мировоззренье|0
миросозерцание,мировоззрение|0
миросозерцанию,мировоззрению|0
мировидению,мировоззрению|0
стремление,тяготение|0
тяготение,стремление|0
стремился,тяготился|0
тяготился,стремился|0
последовательный,ступенчатый|0
последовательному,ступенчатому|0
осмыслению,пониманию|0
лучший,наилучший|0
наилучший,лучший|0|отличнейший|0
лучших,наилучших|0
наилучших,лучших|0
образец,пример|0
образцов,примеров|0
тщательный,скрупулезный|0
скрупулезный,тщательный|0
тщательного,скрупулезного|0
скрупулезного,тщательного|0
воздействие,влияние|0
влияние,воздействие|0|могущество|0
альманах,сборник|0
альманахах,сборниках|0
сборниках,альманахах|0
сборник,альманах|0
лихой,бравый|0
бравый,лихой|0
лихая,бравая|0
бравая,лихая|0
ощущается,осязается|0
осязается,ощущается|0
ирония,издевка|0
издевка,ирония|0
набросок,очерк|0
очерк,набросок|0
известность,популярность|0
обыкновенный,обычный|0
обыкновенная,обычная|0
обычная,обыкновенная|0
обычный,обыкновенный|0
закономерно,правомерно|0
правомерно,закономерно|0
серьезный,солидный|0
серьезную,солидную|0
обреченность,безвыходность|0
обреченности,безвыходности|0
безвыходности,обреченности|0
безвыходность,обреченность|0
социальный,общественный|0
общественный,социальный|0
уклад,порядок|0
позорный,постыдный|0
постыдный,позорный|0
позорных,постыдных|0
постыдных,позорных|0
привычный,знакомый|0
привычных,знакомых|0
общественных,социальных|0
идеализировал,восхвалял|0
общественного,социального|0
социального,общественного|0
социальных,общественных|0
порожденный,зарожденный|0
зарожденный,порожденный|0
зарожденные,порожденные|0
деятельный,предприимчивый|0
предприимчивый,деятельный|0
противостоит,противоборствует|0
противоборствует,противостоит|0
благосостояние,благополучие|0
благополучие,благосостояние|0
провинциальный,захолустный|0
захолустный,провинциальный|0
неясными,непонятными|0
непонятными,неясными|0
неизвестного,неведомого|0|незнакомого|0
неведомого,неизвестного|0
тенденция,склонность|0
классическим,типичным|0
типичным,классическим|0|нормальным|0
вплоть,вплотную|0
прочно,крепко|0
прекрасный,очаровательный|0|красивый|0
прекрасной,очаровательной|0|красивой|0
очаровательной,прекрасной|0
очаровательный,прекрасный|0
покуда,доколе|0
доколе,покуда|0
хvii,17|0
чахнуть,болеть|0
преимущество,превосходство|0|преобладание|0
превосходство,преимущество|0
преобладание,преимущество|0
преимущества,превосходства|0
превосходства,преимущества|0
отступление,отхождение|0
восприятию,воспринятию|0
воспринятию,восприятию|0
структуризация,классификация|0
структуризации,классификации|0
систематизации,классификации|0
повсеместный,глобальный|0
повсеместное,глобальное|0
мыслить,думать|0
очевидно,видимо|0
столетия,века|0
века,столетия|0
любознательный,любопытный|0
любопытный,любознательный|0
любознательные,любопытные|0
любопытные,любознательные|0
воедино,вместе|0
упорядочить,систематизировать|0
систематизировать,упорядочить|0|классифицировать|0
взаимосвязь,связь|0
взаимосвязи,связи|0
проблемы,задачи|0|загвоздки|0
практичность,прагматичность|0
прагматичность,практичность|0
сноровка,ухватка|0
ухватка,сноровка|0
скептицизм,нигилизм|0
нигилизм,скептицизм|0
чрезмерно,безмерно|0|непомерно|0
безмерно,чрезмерно|0|бесконечно|0|безгранично|0
изначально,первоначально|0
первоначально,изначально|0
искренне,откровенно|0
откровенно,искренне|0
отрадно,приятно|0
приятно,отрадно|0|славно|0
действительно,подлинно|0
напрасно,бесполезно|0|бесплодно|0|тщетно|0
бесполезно,напрасно|0|непотребно|0
отличный,чудесный|0|хороший|0
огромный,большой|0|громадный|0
взгляд,взор|0
взор,взгляд|0
раздражают,нервируют|0
нервируют,раздражают|0
посреди,среди|0
эффективно,результативно|0
результативно,эффективно|0
исследованиях,изысканиях|0
изысканиях,исследованиях|0
подлинный,достоверный|0
подлинным,достоверным|0
однажды,некогда|0
увлечение,пристрастие|0
пристрастие,увлечение|0
заключение,завершение|0
заключении,завершении|0
завершении,заключении|0
завершение,заключение|0
методика,методология|0
методология,методика|0
немножко,немного|0
немного,немножко|0
различные,разные|0
разные,различные|0
одинаковы,идентичны|0
идентичны,одинаковы|0
равноценны,равнозначимы|0
равнозначимы,равноценны|0
справедливость,честность|0
истина,правда|0
правосудие,юстиция|0
существенным,значительным|0
значительным,существенным|0
совершенствование,улучшение|0
улучшение,совершенствование|0
совершенствовании,улучшении|0
улучшении,совершенствовании|0
попробовать,испробовать|0
промышленные,индустриальные|0
востребованной,актуальной|0
востребованный,актуальный|0
востребованным,актуальным|0
востребованных,актуальных|0
подлинного,настоящего|0|достоверного|0
особенностью,спецификой|0
созданы,сделаны|0
индустриальные,промышленные|0
активиста,общественника|0
актуальной,востребованной|0
актуальный,востребованный|0
актуальным,востребованным|0
актуальных,востребованных|0
гениальных,феноменальных|0|талантливых|0
настоящего,подлинного|0
управляют,руководят|0
спецификой,особенностью|0
представителей,поверенных|0
порожденные,зарожденные|0
интеллектуального,умственного|0
феноменальных,гениальных|0
шокирующий,пугающий|0
шокирующее,пугающее|0
зачастую,нередко|0
исчерпывающий,доскональный|0|досканальный|0
исчерпывающего,досканального|0|досконального|0
досконального,исчерпывающего|0
доскональный,исчерпывающий|0
исчерпывающее,досканальное|0
фактически,реально|0
независимость,автономность|0
независимости,автономности|0
тесные,узкие|0
тесный,узкий|0
существенную,значительную|0
классифицировал,систематизировал|0
систематизировал,классифицировал|0
полностью,всецело|0
целесообразность,рациональность|0
